Age,Country,EdLevel,WorkExp,YearsCode,Employment,RemoteWork,OrgSize,Industry,ICorPM,NewRole,PurchaseInfluence,LearnCodeAI,ToolCountWork,ToolCountPersonal,AIThreat,AIFrustration,AISent,AIComplex,AIAgentChange,ConvertedCompYearly,JobSat
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,13.0,Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",Government,People manager,I have somewhat considered changing my career and/or the industry I work in,No,"No, I didn't spend time learning in the past year",4.0,4.0,No,I don’t use AI tools regularly,Unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,136000.0,8.0
45-54 years old,United States of America,Some college/university study without earning a degree,3.0,6.0,Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,"Internet, Telecomm or Information Services",Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,2.0,Yes,Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works,Indifferent,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,44000.0,7.0
35-44 years old,United States of America,Some college/university study without earning a degree,12.0,18.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",Less than 20 employees,Software Development,People manager,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,12.0,No,Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly;It’s hard to understand how or why the code works,Indifferent,Very poor at handling complex tasks,Not at all or minimally,77987.0,3.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,8.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)","10,000 or more employees",Insurance,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I didn't spend time learning in the past year",5.0,0.0,No,I don’t use AI tools regularly,Very unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,121000.0,6.0
25-34 years old,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,10.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",Healthcare,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",8.0,5.0,I'm not sure,I don’t use AI tools regularly,Unfavorable,Very poor at handling complex tasks,Not at all or minimally,1910.0,5.0
25-34 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,10.0,Not employed,Not Specified,Not Specified,Not Specified,Not Specified,I have neither consider or transitioned into a new career or industry,Not Specified,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,2.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Indifferent,Bad at handling complex tasks,Not at all or minimally,77987.0,8.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,6.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Software Development,Individual contributor,I have transitioned into a new career and/or industry voluntarily,"Yes, I endorsed a tool that was ultimately not purchased or used at my organization","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",12.0,5.0,No,"AI solutions that are almost right, but not quite;I don’t use AI tools regularly;I’ve become less confident in my own problem-solving",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,93000.0,7.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27.0,43.0,Employed,Remote,"5,000 to 9,999 employees",Healthcare,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",20.0,5.0,No,"AI solutions that are almost right, but not quite;Other (write in):",Indifferent,Bad at handling complex tasks,"Yes, somewhat",232000.0,8.0
25-34 years old,South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,11.0,Employed,In-person,20 to 99 employees,Insurance,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",3.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Other (write in):",Favorable,Bad at handling complex tasks,"Yes, somewhat",21142.0,6.0
25-34 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,13.0,Employed,In-person,I don’t know,Other:,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,5.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works",Very favorable,Very poor at handling complex tasks,Not at all or minimally,77987.0,10.0
45-54 years old,United States of America,Some college/university study without earning a degree,17.0,22.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Healthcare,Not Specified,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",10.0,10.0,Yes,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",150000.0,6.0
25-34 years old,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,Employed,"Hybrid (some remote, leans heavy to in-person)","10,000 or more employees","Internet, Telecomm or Information Services",Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,I'm not sure,Not Specified,Favorable,Neither good or bad at handling complex tasks,Not Specified,116015.0,6.0
35-44 years old,United States of America,Some college/university study without earning a degree,17.0,23.0,Employed,Remote,"10,000 or more employees",Software Development,Individual contributor,I have transitioned into a new career and/or industry voluntarily,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",3.0,3.0,No,I don’t use AI tools regularly,Very unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,180000.0,8.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,7.0,Employed,Remote,500 to 999 employees,Insurance,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",1.0,3.0,Yes,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks",Not at all or minimally,89000.0,8.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,28.0,Employed,Remote,100 to 499 employees,Higher Education,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",12.0,4.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;Other (write in):",Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,100000.0,8.0
25-34 years old,Spain,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0,15.0,"Independent contractor, freelancer, or self-employed",Remote,Less than 20 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",7.0,8.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works",Unfavorable,Bad at handling complex tasks,"Yes, somewhat",54527.0,5.0
45-54 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,30.0,35.0,"Independent contractor, freelancer, or self-employed",Remote,"Just me - I am a freelancer, sole proprietor, etc.",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",20.0,20.0,No,Debugging AI-generated code is more time-consuming,Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",95299.0,10.0
